years,inv_points_per_year,time_taken_s,Sun_solver_jupiter_mass,Mercury_solver_sun_mass,Mercury_solver_jupiter_mass,Venus_solver_sun_mass,Venus_solver_jupiter_mass,Earth_solver_sun_mass,Earth_solver_jupiter_mass,Mars_solver_sun_mass,Mars_solver_jupiter_mass,Jupiter_solver_sun_mass
5,0.1,0.0189,-1.2152636258448459e+17,-2.0292259411640463e+18,-6.392088230618767e+19,-9.335511894827891e+19,1.3608880768246845e+20,-1.20088291569883e+20,9.891827058350916e+18,-1.2887945347527005e+20,-2.1456132375005204e+19,-1.3852498418264893e+20
5,0.05,0.0201,-1.18868454329703e+17,-6.1129927917277856e+19,-5.2543978053340194e+20,-1.2328212975841654e+20,3.2621606041732514e+19,-1.3087306886942061e+20,3.623441311400952e+18,-1.3312892197921156e+20,-5.545494175174625e+18,-1.3564262107779188e+20
5,0.02,0.0159,-1.1750858686911595e+17,-1.1614140850232756e+20,-6.899615960854016e+19,-1.3191857251955397e+20,5.072929843810126e+18,-1.3314034250188846e+20,3.021516206343637e+17,-1.3350095145254796e+20,-9.956616095050842e+17,-1.3393068680178023e+20
5,0.01,0.0195,-1.1704600460984706e+17,-1.2856733321977165e+20,-1.3556272184588458e+19,-1.328691028333144e+20,1.1787682849739587e+18,-1.3317284548094132e+20,-1.4236019227953898e+17,-1.332641777827396e+20,-3.4274863365565786e+17,-1.3337431492538828e+20
5,0.004,0.0255,-1.1676050258231944e+17,-1.3225898376744146e+20,-2.0356152114142502e+18,-1.3296394976862236e+20,9.06349396241701e+16,-1.330120989081694e+20,-2.2646531441248896e+17,-1.3302825335199593e+20,-1.5969565676254115e+17,-1.3304740610878223e+20
5,0.002,0.0321,-1.1666992865998558e+17,-1.3273995724030342e+20,-5.054178504980351e+17,-1.3291659371531847e+20,-6.462931079993418e+16,-1.329285622227592e+20,-2.3351919685799866e+17,-1.3293383214689108e+20,-1.3349170023816821e+17,-1.3293978135726581e+20
5,0.0013,0.0645,-1.1663884603363867e+17,-1.3281361288696262e+20,-2.2696297488571466e+17,-1.3289206680636272e+20,-9.337423190939496e+16,-1.328973804034155e+20,-2.3380272067991494e+17,-1.3290060338151239e+20,-1.2862256737527944e+17,-1.3290406458166107e+20
10,0.1,0.0256,-1.2058728597216605e+17,-3.382195831340192e+18,-1.806009818496072e+20,-9.314889575889193e+19,-7.456237922607851e+19,-1.1862945258701677e+20,2.456518143191765e+19,-1.292554873879257e+20,1.6755259765915628e+18,-1.354974354737004e+20
10,0.05,0.0285,-1.194873104568966e+17,-6.14226488605417e+19,-1.011687282701026e+20,-1.2245741729302557e+20,-1.966864800812742e+19,-1.2982383582916996e+20,6.822219311846372e+18,-1.3253162057233669e+20,4.709378627330407e+17,-1.341821146953838e+20
10,0.02,0.0308,-1.1880542763402862e+17,-1.157593650867027e+20,-1.2755703251528814e+18,-1.3144211736981684e+20,-3.2635673410652554e+18,-1.3266410407430955e+20,1.0376288429194354e+18,-1.3308965993577788e+20,-2.851154067348132e+16,-1.3336346909069314e+20
10,0.01,0.0351,-1.1856952725435562e+17,-1.2834251012511957e+20,1.8315147444169334e+18,-1.3261576724486508e+20,-9.070661878170913e+17,-1.3292010840267887e+20,1.5903002089900912e+17,-1.3302572222081864e+20,-1.0673137621277301e+17,-1.3309490960531369e+20
10,0.004,0.0531,-1.1842394382818837e+17,-1.3215878071321852e+20,3.9268049301746643e+17,-1.3285961248815222e+20,-2.4892110691597213e+17,-1.329072254968216e+20,-7.49027881381917e+16,-1.3292338898756637e+20,-1.2908522303978925e+17,-1.3293476565557618e+20
10,0.002,0.0444,-1.183751584223796e+17,-1.3268813798007018e+20,3.3872406292383216e+16,-1.3286400317164593e+20,-1.5504340878798358e+17,-1.3287510479718505e+20,-1.0642389778025773e+17,-1.3287844643530819e+20,-1.3227291798713019e+17,-1.3288147540278125e+20
10,0.0013,0.093,-1.1835891516527954e+17,-1.3277867551952218e+20,-3.9540856093120376e+16,-1.3285693688226746e+20,-1.376724415118803e+17,-1.3286130269346724e+20,-1.1192806887323442e+17,-1.328622540671234e+20,-1.3285366959177253e+17,-1.3286371692149749e+20
15,0.1,0.017,-1.25317011138509e+17,-4.0788289016618353e+18,1.7182632789473267e+20,-9.310638830555143e+19,-1.9343678070038344e+19,-1.1757846674374738e+20,-9.116441679858935e+18,-1.2820963607839524e+20,3.9545069944364805e+18,-1.343903737704695e+20
